Theta1,Theta2,Theta3,x0,y0,z0
-40,20,-40,162.2661172,-281.0531593,-654.7607185
-40,20,-36,175.2624326,-267.5330623,-662.9616808
-40,20,-32,188.6079162,-253.323613,-671.0023662
-40,20,-28,202.2869814,-238.4123228,-678.8394395
-40,20,-24,216.2842552,-222.7861249,-686.4292841
-40,20,-20,230.5842817,-206.4315738,-693.727689
-40,20,-16,245.1712486,-189.3350409,-700.6895715
-40,20,-12,260.0287299,-171.4829091,-707.2687301
-40,20,-8,275.139441,-152.8617715,-713.4176244
-40,20,-4,290.4850018,-133.4586374,-719.0871782
-40,20,0,306.045706,-113.2611471,-724.2266051
-40,20,4,321.8002939,-92.25780085,-728.7832554
-40,20,8,337.7257265,-70.43820086,-732.702483
-40,20,12,353.7969612,-47.79331053,-735.927533
-40,20,16,369.9867266,-24.31573149,-738.3994503
-40,20,20,386.2652973,0,-740.0570099
-40,20,24,402.6002682,25.15709633,-740.836669
-40,20,28,418.9563273,51.15618065,-740.672544
-40,20,32,435.2950299,77.99492747,-739.4964117
-40,20,36,451.5745721,105.6676817,-737.2377368
-40,20,40,467.7495659,134.1650562,-733.8237262
-40,20,44,483.7708163,163.4735095,-729.1794118
-40,20,48,499.5851016,193.5749028,-723.2277596
-40,20,52,515.1349556,224.4460404,-715.8898069
-40,20,56,530.3584547,256.0581935,-707.0848236
-40,20,60,545.1890067,288.3766106,-696.7304948
-40,20,64,559.5551414,321.3600163,-684.7431183
-40,20,68,573.3802987,354.9601012,-671.0378101
-40,20,72,586.5826093,389.1210051,-655.5287027
-40,20,76,599.0746598,423.7787927,-638.1291226
-40,20,80,610.7632273,458.8609232,-618.751721
-40,24,-40,175.9817611,-304.8093514,-651.5199433
-40,24,-36,189.2776795,-291.3860783,-659.9639716
-40,24,-32,202.9036192,-277.2800461,-668.2422958
-40,24,-28,216.8442946,-262.477432,-676.3138014
-40,24,-24,231.0846131,-246.9638066,-684.137054
-40,24,-20,245.6093931,-230.7242966,-691.6699899
-40,24,-16,260.4031015,-213.7437459,-698.8696376
-40,24,-12,275.4496039,-196.0068793,-705.691864
-40,24,-8,290.7319242,-177.4984715,-712.0911428
-40,24,-4,306.2320095,-158.2035263,-718.0203425
-40,24,0,321.9304975,-138.1074672,-723.4305319
-40,24,4,337.8064848,-117.1963433,-728.2708021
-40,24,8,353.8372938,-95.45705153,-732.4881043
-40,24,12,369.9982358,-72.87757917,-736.027104
-40,24,16,386.2623719,-49.44726706,-738.8300514
-40,24,20,402.6002682,-25.15709633,-740.836669
-40,24,24,418.9797462,0,-741.9840571
-40,24,28,435.3656287,26.02879914,-742.2066196
-40,24,32,451.7194801,52.93142293,-741.4360102
-40,24,36,467.9993419,80.70694382,-739.6011004
-40,24,40,484.1594639,109.3509617,-736.6279726
